metrica,m1_lr,m2_ridge,m3_lasso,m4_elasticnet,m5_dTree
MAE,4.28125545229612,4.284235439878641,4.6836383673207,4.646618749208221,3.5509803921568626
MSE,29.974477856213863,30.043455296930755,40.65734678987852,39.741906856096485,38.83901960784314
RMSE,5.47489523700809,5.481191047293531,6.376311378052245,6.304118245726081,6.232095924152897
R2,0.6966986781872812,0.6960007194423432,0.5886024409859107,0.5978654594540933,0.607001461660928
